MTHREE, Logon, 108=30,       
MS, Logon, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, Heartbeat, 108=30,       
MS, Heartbeat, 108=30,       
MTHREE, New Order Single, AAPL,  1276.37, 2,  10=0252,  21=2,
MS, Execution Report, AAPL, 11360, 1276.37, 2, algo20220418202933, 0, exec20220418202933, 1276.37,
MTHREE, 35=F, 41=algo20220418202933,       11=C_algo20220418202933,
MS, Execution Report, AAPL, 11360, exec20220418202933, 1276.37, algo20220418202933, 0, 41=algo20220418202933, 150=6,
MS, Execution Report, 151=9088, 11360, exec20220418202933, 2, algo20220418202933, 0, 41=algo20220418202933, 0,
MTHREE, New Order Single, MSFT,  59.89, 2,  10=0252,  21=2,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 0, exec20220418202935, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202935, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202936, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202937, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202938, 59.89,
MS, Execution Report, MSFT, 2495, 59.89, 2, algo20220418202935, 499, exec20220418202940, 59.89,
MTHREE, New Order Single, AMZN,  133.47, 1,  10=0252,  21=2,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 0, exec20220418202940, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202940, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202941, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 910, exec20220418202942, 133.47,
MS, Execution Report, AMZN, 3642, 133.47, 1, algo20220418202940, 912, exec20220418202944, 133.47,
MTHREE, New Order Single, FB,  430.62, 1,  10=0252,  21=2,
MS, Execution Report, FB, 22478, 430.62, 1, algo20220418202945, 0, exec20220418202945, 430.62,
MTHREE, 35=F, 41=algo20220418202945,       11=C_algo20220418202945,
MS, Execution Report, FB, 22478, exec20220418202945, 430.62, algo20220418202945, 0, 41=algo20220418202945, 150=6,
MS, Execution Report, 151=17983, 22478, exec20220418202945, 1, algo20220418202945, 0, 41=algo20220418202945, 0,
MTHREE, New Order Single, GOOG,  42.05, 2,  10=0252,  21=2,
MS, Execution Report, GOOG, 23632, 42.05, 2, algo20220418202947, 0, exec20220418202947, 42.05,
MTHREE, 35=F, 41=algo20220418202947,       11=C_algo20220418202947,
MS, Execution Report, GOOG, 23632, exec20220418202947, 42.05, algo20220418202947, 0, 41=algo20220418202947, 150=6,
MS, Execution Report, 151=17724, 23632, exec20220418202947, 2, algo20220418202947, 0, 41=algo20220418202947, 0,
MTHREE, New Order Single, GOOGL,  289.20, 2,  10=0252,  21=2,
MS, Execution Report, GOOGL, 19621, 289.20, 2, algo20220418202949, 0, exec20220418202949, 289.20,
MS, Execution Report, GOOGL, 19621, 289.20, 2, algo20220418202949, 19621, exec20220418202950, 289.20,
MTHREE, New Order Single, INTC,  339.13, 2,  10=0252,  21=2,
MS, Execution Report, INTC, 7815, 339.13, 2, algo20220418202950, 0, exec20220418202950, 339.13,
MS, Execution Report, INTC, 7815, 339.13, 2, algo20220418202950, 2605, exec20220418202950, 339.13,
MTHREE, 35=F, 41=algo20220418202950,       11=C_algo20220418202950,
MS, Execution Report, INTC, 7815, exec20220418202951, 339.13, algo20220418202950, 0, 41=algo20220418202950, 150=6,
MS, Execution Report, 151=2605, 7815, exec20220418202951, 2, algo20220418202950, 0, 41=algo20220418202950, 0,
MTHREE, New Order Single, PEP,  36.21, 2,  10=0252,  21=2,
MS, Execution Report, PEP, 5703, 36.21, 2, algo20220418202953, 0, exec20220418202953, 36.21,
MS, Execution Report, PEP, 5703, 36.21, 2, algo20220418202953, 1901, exec20220418202953, 36.21,
MS, Execution Report, PEP, 5703, 36.21, 2, algo20220418202953, 1901, exec20220418202954, 36.21,
MS, Execution Report, PEP, 5703, 36.21, 2, algo20220418202953, 1901, exec20220418202956, 36.21,
MTHREE, New Order Single, NFLX,  306.71, 2,  10=0252,  21=2,
MS, Execution Report, NFLX, 23553, 306.71, 2, algo20220418202956, 0, exec20220418202956, 306.71,
MS, Execution Report, NFLX, 23553, 306.71, 2, algo20220418202956, 11776, exec20220418202956, 306.71,
MS, Execution Report, NFLX, 23553, 306.71, 2, algo20220418202956, 11777, exec20220418202958, 306.71,
MTHREE, New Order Single, CSCO,  233.73, 2,  10=0252,  21=2,
MS, Execution Report, CSCO, 9647, 233.73, 2, algo20220418202958, 0, exec20220418202958, 233.73,
MS, Execution Report, CSCO, 9647, 233.73, 2, algo20220418202958, 3215, exec20220418202958, 233.73,
MS, Execution Report, CSCO, 9647, 233.73, 2, algo20220418202958, 3215, exec20220418202959, 233.73,
MS, Execution Report, CSCO, 9647, 233.73, 2, algo20220418202958, 3217, exec20220418203001, 233.73,
MTHREE, New Order Single, AMGN,  116.62, 1,  10=0252,  21=2,
MS, Execution Report, AMGN, 22424, 116.62, 1, algo20220418203001, 0, exec20220418203001, 116.62,
MTHREE, 35=F, 41=algo20220418203001,       11=C_algo20220418203001,
MS, Execution Report, AMGN, 22424, exec20220418203001, 116.62, algo20220418203001, 0, 41=algo20220418203001, 150=6,
MS, Execution Report, 151=11212, 22424, exec20220418203001, 1, algo20220418203001, 0, 41=algo20220418203001, 0,
MTHREE, New Order Single, PYPL,  723.61, 2,  10=0252,  21=2,
MS, Execution Report, PYPL, 3975, 723.61, 2, algo20220418203003, 0, exec20220418203003, 723.61,
MTHREE, 35=F, 41=algo20220418203003,       11=C_algo20220418203003,
MS, Execution Report, PYPL, 3975, exec20220418203003, 723.61, algo20220418203003, 0, 41=algo20220418203003, 150=6,
MS, Execution Report, 151=2982, 3975, exec20220418203003, 2, algo20220418203003, 0, 41=algo20220418203003, 0,
MTHREE, New Order Single, TSLA,  503.77, 2,  10=0252,  21=2,
MS, Execution Report, TSLA, 30109, 503.77, 2, algo20220418203005, 0, exec20220418203005, 503.77,
MTHREE, 35=F, 41=algo20220418203005,       11=C_algo20220418203005,
MS, Execution Report, TSLA, 30109, exec20220418203005, 503.77, algo20220418203005, 0, 41=algo20220418203005, 150=6,
MS, Execution Report, 151=20073, 30109, exec20220418203005, 2, algo20220418203005, 0, 41=algo20220418203005, 0,
MTHREE, New Order Single, TXN,  112.46, 2,  10=0252,  21=2,
MS, Execution Report, TXN, 379, 112.46, 2, algo20220418203007, 0, exec20220418203007, 112.46,
MS, Execution Report, TXN, 379, 112.46, 2, algo20220418203007, 379, exec20220418203008, 112.46,
MTHREE, New Order Single, AVGO,  262.99, 2,  10=0252,  21=2,
MS, Execution Report, AVGO, 3127, 262.99, 2, algo20220418203008, 0, exec20220418203008, 262.99,
MS, Execution Report, AVGO, 3127, 262.99, 2, algo20220418203008, 3127, exec20220418203009, 262.99,
MTHREE, New Order Single, GILD,  82.91, 1,  10=0252,  21=2,
MS, Execution Report, GILD, 7510, 82.91, 1, algo20220418203009, 0, exec20220418203009, 82.91,
MTHREE, 35=F, 41=algo20220418203009,       11=C_algo20220418203009,
MS, Execution Report, GILD, 7510, exec20220418203009, 82.91, algo20220418203009, 0, 41=algo20220418203009, 150=6,
MS, Execution Report, 151=3755, 7510, exec20220418203009, 1, algo20220418203009, 0, 41=algo20220418203009, 0,
MTHREE, New Order Single, SBUX,  75.71, 1,  10=0252,  21=2,
MS, Execution Report, SBUX, 20334, 75.71, 1, algo20220418203011, 0, exec20220418203011, 75.71,
MS, Execution Report, SBUX, 20334, 75.71, 1, algo20220418203011, 6778, exec20220418203011, 75.71,
MTHREE, 35=F, 41=algo20220418203011,       11=C_algo20220418203011,
MS, Execution Report, SBUX, 20334, exec20220418203012, 75.71, algo20220418203011, 0, 41=algo20220418203011, 150=6,
MS, Execution Report, 151=6778, 20334, exec20220418203012, 1, algo20220418203011, 0, 41=algo20220418203011, 0,
MTHREE, New Order Single, QCOM,  75.47, 1,  10=0252,  21=2,
MS, Execution Report, QCOM, 29048, 75.47, 1, algo20220418203014, 0, exec20220418203014, 75.47,
MS, Execution Report, QCOM, 29048, 75.47, 1, algo20220418203014, 9682, exec20220418203014, 75.47,
MS, Execution Report, QCOM, 29048, 75.47, 1, algo20220418203014, 9682, exec20220418203015, 75.47,
MS, Execution Report, QCOM, 29048, 75.47, 1, algo20220418203014, 9684, exec20220418203017, 75.47,
MTHREE, New Order Single, TMUS,  90.74, 2,  10=0252,  21=2,
MS, Execution Report, TMUS, 18983, 90.74, 2, algo20220418203017, 0, exec20220418203017, 90.74,
MS, Execution Report, TMUS, 18983, 90.74, 2, algo20220418203017, 18983, exec20220418203018, 90.74,
MTHREE, New Order Single, MDLZ,  52.26, 1,  10=0252,  21=2,
MS, Execution Report, MDLZ, 19306, 52.26, 1, algo20220418203018, 0, exec20220418203018, 52.26,
MTHREE, 35=F, 41=algo20220418203018,       11=C_algo20220418203018,
MS, Execution Report, MDLZ, 19306, exec20220418203018, 52.26, algo20220418203018, 0, 41=algo20220418203018, 150=6,
MS, Execution Report, 151=14480, 19306, exec20220418203018, 1, algo20220418203018, 0, 41=algo20220418203018, 0,
MTHREE, New Order Single, BAC,  22.03, 2,  10=0252,  21=2,
MS, Execution Report, BAC, 8358, 22.03, 2, algo20220418203020, 0, exec20220418203020, 22.03,
MS, Execution Report, BAC, 8358, 22.03, 2, algo20220418203020, 2786, exec20220418203020, 22.03,
MTHREE, 35=F, 41=algo20220418203020,       11=C_algo20220418203020,
MS, Execution Report, BAC, 8358, exec20220418203021, 22.03, algo20220418203020, 0, 41=algo20220418203020, 150=6,
MS, Execution Report, 151=2786, 8358, exec20220418203021, 2, algo20220418203020, 0, 41=algo20220418203020, 0,
MTHREE, New Order Single, DDD,  8.01, 1,  10=0252,  21=2,
MS, Execution Report, DDD, 26718, 8.01, 1, algo20220418203023, 0, exec20220418203023, 8.01,
MTHREE, 35=F, 41=algo20220418203023,       11=C_algo20220418203023,
MS, Execution Report, DDD, 26718, exec20220418203023, 8.01, algo20220418203023, 0, 41=algo20220418203023, 150=6,
MS, Execution Report, 151=13359, 26718, exec20220418203023, 1, algo20220418203023, 0, 41=algo20220418203023, 0,
MTHREE, New Order Single, MMM,  146.98, 1,  10=0252,  21=2,
MS, Execution Report, MMM, 3616, 146.98, 1, algo20220418203025, 0, exec20220418203025, 146.98,
MS, Execution Report, MMM, 3616, 146.98, 1, algo20220418203025, 3616, exec20220418203026, 146.98,
MTHREE, New Order Single, WBAI,  4.10, 2,  10=0252,  21=2,
MS, Execution Report, WBAI, 5744, 4.10, 2, algo20220418203026, 0, exec20220418203026, 4.10,
MTHREE, 35=F, 41=algo20220418203026,       11=C_algo20220418203026,
MS, Execution Report, WBAI, 5744, exec20220418203026, 4.10, algo20220418203026, 0, 41=algo20220418203026, 150=6,
MS, Execution Report, 151=4596, 5744, exec20220418203026, 2, algo20220418203026, 0, 41=algo20220418203026, 0,
MTHREE, New Order Single, WUBA,  51.41, 2,  10=0252,  21=2,
MS, Execution Report, WUBA, 16676, 51.41, 2, algo20220418203028, 0, exec20220418203028, 51.41,
MS, Execution Report, WUBA, 16676, 51.41, 2, algo20220418203028, 4169, exec20220418203028, 51.41,
MTHREE, 35=F, 41=algo20220418203028,       11=C_algo20220418203028,
MS, Execution Report, WUBA, 16676, exec20220418203029, 51.41, algo20220418203028, 0, 41=algo20220418203028, 150=6,
MS, Execution Report, 151=8338, 16676, exec20220418203029, 2, algo20220418203028, 0, 41=algo20220418203028, 0,
MTHREE, New Order Single, EGHT,  17.03, 1,  10=0252,  21=2,
MS, Execution Report, EGHT, 1588, 17.03, 1, algo20220418203031, 0, exec20220418203031, 17.03,
MTHREE, 35=F, 41=algo20220418203031,       11=C_algo20220418203031,
MS, Execution Report, EGHT, 1588, exec20220418203031, 17.03, algo20220418203031, 0, 41=algo20220418203031, 150=6,
MS, Execution Report, 151=1191, 1588, exec20220418203031, 1, algo20220418203031, 0, 41=algo20220418203031, 0,
MTHREE, New Order Single, AHC,  1.40, 2,  10=0252,  21=2,
MS, Execution Report, AHC, 32739, 1.40, 2, algo20220418203033, 0, exec20220418203033, 1.40,
MS, Execution Report, AHC, 32739, 1.40, 2, algo20220418203033, 16369, exec20220418203033, 1.40,
MS, Execution Report, AHC, 32739, 1.40, 2, algo20220418203033, 16370, exec20220418203035, 1.40,
MTHREE, New Order Single, AOS,  40.38, 1,  10=0252,  21=2,
MS, Execution Report, AOS, 20665, 40.38, 1, algo20220418203035, 0, exec20220418203035, 40.38,
MTHREE, 35=F, 41=algo20220418203035,       11=C_algo20220418203035,
MS, Execution Report, AOS, 20665, exec20220418203035, 40.38, algo20220418203035, 0, 41=algo20220418203035, 150=6,
MS, Execution Report, 151=16532, 20665, exec20220418203035, 1, algo20220418203035, 0, 41=algo20220418203035, 0,
MTHREE, New Order Single, ATEN,  6.45, 1,  10=0252,  21=2,
MS, Execution Report, ATEN, 20657, 6.45, 1, algo20220418203037, 0, exec20220418203037, 6.45,
MS, Execution Report, ATEN, 20657, 6.45, 1, algo20220418203037, 20657, exec20220418203038, 6.45,
MTHREE, New Order Single, AIR,  16.31, 2,  10=0252,  21=2,
MS, Execution Report, AIR, 20388, 16.31, 2, algo20220418203038, 0, exec20220418203038, 16.31,
MTHREE, 35=F, 41=algo20220418203038,       11=C_algo20220418203038,
MS, Execution Report, AIR, 20388, exec20220418203038, 16.31, algo20220418203038, 0, 41=algo20220418203038, 150=6,
MS, Execution Report, 151=13592, 20388, exec20220418203038, 2, algo20220418203038, 0, 41=algo20220418203038, 0,
MTHREE, New Order Single, AAN,  25.68, 1,  10=0252,  21=2,
MS, Execution Report, AAN, 18126, 25.68, 1, algo20220418203040, 0, exec20220418203040, 25.68,
MTHREE, 35=F, 41=algo20220418203040,       11=C_algo20220418203040,
MS, Execution Report, AAN, 18126, exec20220418203040, 25.68, algo20220418203040, 0, 41=algo20220418203040, 150=6,
MS, Execution Report, 151=12084, 18126, exec20220418203040, 1, algo20220418203040, 0, 41=algo20220418203040, 0,
MTHREE, New Order Single, ABB,  17.42, 2,  10=0252,  21=2,
MS, Execution Report, ABB, 16681, 17.42, 2, algo20220418203042, 0, exec20220418203042, 17.42,
MTHREE, 35=F, 41=algo20220418203042,       11=C_algo20220418203042,
MS, Execution Report, ABB, 16681, exec20220418203042, 17.42, algo20220418203042, 0, 41=algo20220418203042, 150=6,
MS, Execution Report, 151=12511, 16681, exec20220418203042, 2, algo20220418203042, 0, 41=algo20220418203042, 0,
MTHREE, New Order Single, ABT,  94.04, 2,  10=0252,  21=2,
MS, Execution Report, ABT, 9004, 94.04, 2, algo20220418203044, 0, exec20220418203044, 94.04,
MTHREE, 35=F, 41=algo20220418203044,       11=C_algo20220418203044,
MS, Execution Report, ABT, 9004, exec20220418203044, 94.04, algo20220418203044, 0, 41=algo20220418203044, 150=6,
MS, Execution Report, 151=6003, 9004, exec20220418203044, 2, algo20220418203044, 0, 41=algo20220418203044, 0,
MTHREE, New Order Single, ABBV,  83.60, 1,  10=0252,  21=2,
MS, Execution Report, ABBV, 8292, 83.60, 1, algo20220418203046, 0, exec20220418203046, 83.60,
MS, Execution Report, ABBV, 8292, 83.60, 1, algo20220418203046, 1658, exec20220418203046, 83.60,
MTHREE, 35=F, 41=algo20220418203046,       11=C_algo20220418203046,
MS, Execution Report, ABBV, 8292, exec20220418203047, 83.60, algo20220418203046, 0, 41=algo20220418203046, 150=6,
MS, Execution Report, 151=4976, 8292, exec20220418203047, 1, algo20220418203046, 0, 41=algo20220418203046, 0,
MTHREE, New Order Single, ANF,  9.10, 1,  10=0252,  21=2,
MS, Execution Report, ANF, 9338, 9.10, 1, algo20220418203049, 0, exec20220418203049, 9.10,
MS, Execution Report, ANF, 9338, 9.10, 1, algo20220418203049, 4669, exec20220418203049, 9.10,
MS, Execution Report, ANF, 9338, 9.10, 1, algo20220418203049, 4669, exec20220418203051, 9.10,
MTHREE, New Order Single, ABM,  31.64, 2,  10=0252,  21=2,
MS, Execution Report, ABM, 7807, 31.64, 2, algo20220418203051, 0, exec20220418203051, 31.64,
MS, Execution Report, ABM, 7807, 31.64, 2, algo20220418203051, 3903, exec20220418203051, 31.64,
MS, Execution Report, ABM, 7807, 31.64, 2, algo20220418203051, 3904, exec20220418203053, 31.64,
MTHREE, New Order Single, AAPL,  284.65, 1,  10=0252,  21=2,
MS, Execution Report, AAPL, 2303, 284.65, 1, algo20220418203053, 0, exec20220418203053, 284.65,
MTHREE, 35=F, 41=algo20220418203053,       11=C_algo20220418203053,
MS, Execution Report, AAPL, 2303, exec20220418203053, 284.65, algo20220418203053, 0, 41=algo20220418203053, 150=6,
MS, Execution Report, 151=1728, 2303, exec20220418203053, 1, algo20220418203053, 0, 41=algo20220418203053, 0,
MTHREE, New Order Single, PEP,  45.43, 1,  10=0252,  21=2,
MS, Execution Report, PEP, 1449, 45.43, 1, algo20220418203055, 0, exec20220418203055, 45.43,
MTHREE, 35=F, 41=algo20220418203055,       11=C_algo20220418203055,
MS, Execution Report, PEP, 1449, exec20220418203055, 45.43, algo20220418203055, 0, 41=algo20220418203055, 150=6,
MS, Execution Report, 151=1160, 1449, exec20220418203055, 1, algo20220418203055, 0, 41=algo20220418203055, 0,
MTHREE, New Order Single, ,  , 2,  10=0252,  21=2,
MS, Execution Report, , 2881, , 2, algo20220418203057, 0, exec20220418203057, ,
MS, Execution Report, , 2881, , 2, algo20220418203057, 1440, exec20220418203057, ,
MS, Execution Report, , 2881, , 2, algo20220418203057, 1441, exec20220418203059, ,
